38, PROGRESSIVE_SCAN, 2048, 2048, 1375, 1650, 950, 1425, datasets/SIMPLE_VORONOI_2048x2048_6.png, 1512, 1187, out/, 2021-05-0114:11:16.916, 1985863, 193597843, 534255937, 2.7596173, 269.0296, 97.488014
41, PROGRESSIVE_SCAN, 2048, 2048, 0, 1240, 662, 1324, datasets/SIMPLE_VORONOI_2048x2048_4.png, 620, 993, out/, 2021-05-0114:12:14.602, 6664542, 603442172, 1653281924, 2.739752, 248.07135, 90.54518
43, GREEDY_RANGE_SCAN, 512, 512, 118, 236, 252, 504, datasets/SIMPLE_VORONOI_512x512_3.png, 177, 378, out/, 2021-05-0114:12:28.142, 77416, 6809293, 18949523, 2.7828915, 244.7753, 87.95718
46, GRID_SCAN, 2048, 2048, 0, 648, 0, 742, datasets/SIMPLE_VORONOI_2048x2048_4.png, 324, 371, out/, 2021-05-0114:15:01.489, 319159969, -2036874687, 1605636933, -0.78828466, 5.030822, -6.3819866
48, PROGRESSIVE_SCAN, 2048, 2048, 0, 607, 742, 1484, datasets/SIMPLE_VORONOI_2048x2048_5.png, 303, 1113, out/, 2021-05-0114:15:40.241, 4635256, 425717794, 1168028459, 2.7436683, 251.9879, 91.84343
52, GREEDY_RANGE_SCAN, 2048, 2048, 0, 475, 1324, 1986, datasets/SIMPLE_VORONOI_2048x2048_6.png, 237, 1655, out/, 2021-05-0114:16:13.491, 1822327, 133350949, 368916973, 2.7665117, 202.4428, 73.17619
54, GREEDY_RANGE_SCAN, 1024, 1024, 237, 474, 0, 331, datasets/SIMPLE_VORONOI_1024x1024_5.png, 355, 165, out/, 2021-05-0114:16:28.454, 248784, 25258878, 70335511, 2.7845857, 282.7172, 101.52935
55, GREEDY_RANGE_SCAN, 2048, 2048, 0, 366, 411, 822, datasets/SIMPLE_VORONOI_2048x2048_5.png, 183, 616, out/, 2021-05-0114:16:40.882, 778409, 56792276, 160255025, 2.821775, 205.87509, 72.95943
56, PROGRESSIVE_SCAN, 512, 512, 236, 354, 408, 510, datasets/SIMPLE_VORONOI_512x512_1.png, 295, 459, out/, 2021-05-0114:16:49.014, 70766, 6220669, 17350715, 2.7892041, 245.18436, 87.90477
58, PROGRESSIVE_SCAN, 2048, 2048, 1270, 1524, 742, 1484, datasets/SIMPLE_VORONOI_2048x2048_7.png, 1397, 1113, out/, 2021-05-0114:17:19.183, 2856706, 269865418, 742494580, 2.7513516, 259.91284, 94.46734
59, PROGRESSIVE_SCAN, 512, 512, 273, 364, 0, 357, datasets/SIMPLE_VORONOI_512x512_1.png, 318, 178, out/, 2021-05-0114:17:26.665, 43077, 3782189, 10693121, 2.8272307, 248.23273, 87.80066
60, GREEDY_RANGE_SCAN, 512, 512, 0, 151, 306, 408, datasets/SIMPLE_VORONOI_512x512_4.png, 75, 357, out/, 2021-05-0114:17:34.013, 53477, 4553765, 12792197, 2.8091474, 239.20932, 85.15371
61, GREEDY_RANGE_SCAN, 1024, 1024, 0, 324, 224, 448, datasets/SIMPLE_VORONOI_1024x1024_2.png, 162, 336, out/, 2021-05-0114:17:43.304, 225088, 23000443, 64172103, 2.7900376, 285.09784, 102.18423
62, PROGRESSIVE_SCAN, 1024, 1024, 237, 474, 615, 820, datasets/SIMPLE_VORONOI_1024x1024_3.png, 355, 717, out/, 2021-05-0114:17:51.469, 59261, 9150041, 26406890, 2.885986, 445.60318, 154.4024
63, GRID_SCAN, 1024, 1024, 0, 848, 0, 856, datasets/SIMPLE_VORONOI_1024x1024_3.png, 424, 428, out/, 2021-05-0114:18:58.727, 51676905, 1105044842, -1364785453, -1.2350497, -26.40997, 21.383728
64, GRID_SCAN, 1024, 1024, 274, 411, 0, 822, datasets/SIMPLE_VORONOI_1024x1024_4.png, 342, 411, out/, 2021-05-0114:19:19.004, 6255400, 170838618, 456555186, 2.6724355, 72.98577, 27.310583
65, GRID_SCAN, 2048, 2048, 0, 475, 448, 896, datasets/SIMPLE_VORONOI_2048x2048_1.png, 237, 672, out/, 2021-05-0114:20:01.913, 99609099, 779500847, 2039637512, 2.6165943, 20.476418, 7.825599
75, PROGRESSIVE_SCAN, 1024, 1024, 183, 366, 205, 410, datasets/SIMPLE_VORONOI_1024x1024_3.png, 274, 307, out/, 2021-05-0114:21:00.538, 57288, 8968206, 25910675, 2.8891704, 452.28802, 156.54597
77, GREEDY_RANGE_SCAN, 2048, 2048, 1100, 1375, 822, 1233, datasets/SIMPLE_VORONOI_2048x2048_4.png, 1237, 1027, out/, 2021-05-0114:21:21.066, 954206, 100213828, 279047059, 2.7845168, 292.43903, 105.02326
79, GREEDY_RANGE_SCAN, 512, 512, 118, 236, 306, 408, datasets/SIMPLE_VORONOI_512x512_3.png, 177, 357, out/, 2021-05-0114:21:33.829, 32384, 2653746, 7609343, 2.8673968, 234.9723, 81.946205
80, GREEDY_RANGE_SCAN, 1024, 1024, 549, 732, 662, 993, datasets/SIMPLE_VORONOI_1024x1024_3.png, 640, 827, out/, 2021-05-0114:21:41.6, 38943, 5474951, 16354305, 2.9871144, 419.95493, 140.58884
81, PROGRESSIVE_SCAN, 2048, 2048, 1524, 1778, 475, 950, datasets/SIMPLE_VORONOI_2048x2048_2.png, 1651, 712, out/, 2021-05-0114:21:57.236, 601923, 72487861, 203576768, 2.8084254, 338.21066, 120.42714
82, GREEDY_RANGE_SCAN, 1024, 1024, 474, 711, 0, 331, datasets/SIMPLE_VORONOI_1024x1024_1.png, 592, 165, out/, 2021-05-0114:22:05.436, 77862, 10717183, 30675743, 2.8622954, 393.9758, 137.64331
84, GREEDY_RANGE_SCAN, 1024, 1024, 635, 762, 0, 505, datasets/SIMPLE_VORONOI_1024x1024_6.png, 698, 252, out/, 2021-05-0114:22:21.471, 453835, 42567942, 117543561, 2.7613163, 259.00064, 93.79608
87, GREEDY_RANGE_SCAN, 2048, 2048, 950, 1425, 742, 1484, datasets/SIMPLE_VORONOI_2048x2048_4.png, 1187, 1113, out/, 2021-05-0114:22:52.535, 1996510, 194455097, 536164794, 2.7572677, 268.55103, 97.397514
89, PROGRESSIVE_SCAN, 2048, 2048, 762, 1016, 0, 448, datasets/SIMPLE_VORONOI_2048x2048_5.png, 889, 224, out/, 2021-05-0114:23:16.879, 1717678, 170140734, 470207864, 2.7636406, 273.74622, 99.05276
90, PROGRESSIVE_SCAN, 2048, 2048, 1524, 1778, 0, 1713, datasets/SIMPLE_VORONOI_2048x2048_1.png, 1651, 856, out/, 2021-05-0114:23:33.06, 834067, 92822688, 259098545, 2.7913277, 310.64478, 111.289246
94, PROGRESSIVE_SCAN, 2048, 2048, 0, 607, 822, 1233, datasets/SIMPLE_VORONOI_2048x2048_5.png, 303, 1027, out/, 2021-05-0114:24:11.909, 2350654, 225677571, 621842670, 2.7554474, 264.54028, 96.00629
95, PROGRESSIVE_SCAN, 512, 512, 204, 272, 0, 102, datasets/SIMPLE_VORONOI_512x512_2.png, 238, 51, out/, 2021-05-0114:24:19.053, 21234, 1895600, 5541374, 2.9232824, 260.96704, 89.27192
97, PROGRESSIVE_SCAN, 2048, 2048, 0, 475, 0, 742, datasets/SIMPLE_VORONOI_2048x2048_6.png, 237, 371, out/, 2021-05-0114:25:00.257, 5292704, 483232064, 1325065472, 2.7420893, 250.357, 91.301544
98, PROGRESSIVE_SCAN, 1024, 1024, 762, 889, 662, 993, datasets/SIMPLE_VORONOI_1024x1024_6.png, 825, 827, out/, 2021-05-0114:25:09.922, 289205, 29307704, 81444425, 2.7789426, 281.61487, 101.33886
100, PROGRESSIVE_SCAN, 2048, 2048, 1214, 1821, 1011, 2022, datasets/SIMPLE_VORONOI_2048x2048_1.png, 1517, 1516, out/, 2021-05-0114:25:33.655, 1709348, 169523076, 468517688, 2.76374, 274.09146, 99.17411
101, GRID_SCAN, 512, 512, 340, 408, 0, 118, datasets/SIMPLE_VORONOI_512x512_4.png, 374, 59, out/, 2021-05-0114:25:41.504, 331665, 12748284, 34503603, 2.7065294, 104.03149, 38.43723
102, GREEDY_RANGE_SCAN, 512, 512, 0, 484, 0, 428, datasets/SIMPLE_VORONOI_512x512_4.png, 242, 214, out/, 2021-05-0114:25:48.936, 49058, 4326045, 12177167, 2.8148499, 248.2198, 88.18225
107, GRID_SCAN, 2048, 2048, 366, 732, 1324, 1986, datasets/SIMPLE_VORONOI_2048x2048_2.png, 549, 1655, out/, 2021-05-0114:27:00.486, 113512495, 876112167, -2009645946, -2.2938225, -17.704182, 7.7182
108, GREEDY_RANGE_SCAN, 1024, 1024, 324, 648, 474, 711, datasets/SIMPLE_VORONOI_1024x1024_4.png, 486, 592, out/, 2021-05-0114:27:08.739, 84851, 11314786, 32305187, 2.8551302, 380.72842, 133.34888
110, GREEDY_RANGE_SCAN, 2048, 2048, 0, 648, 742, 1484, datasets/SIMPLE_VORONOI_2048x2048_1.png, 324, 1113, out/, 2021-05-0114:27:36.885, 2844334, 255140970, 701537844, 2.7496088, 246.64398, 89.701485
111, GRID_SCAN, 2048, 2048, 0, 275, 448, 896, datasets/SIMPLE_VORONOI_2048x2048_1.png, 137, 672, out/, 2021-05-0114:28:08.495, 58071097, 483285277, 1276093910, 2.640457, 21.974684, 8.322304
112, GREEDY_RANGE_SCAN, 512, 512, 0, 484, 224, 336, datasets/SIMPLE_VORONOI_512x512_3.png, 242, 280, out/, 2021-05-0114:28:15.625, 34788, 2830181, 8089491, 2.8582945, 232.53682, 81.355095
114, GRID_SCAN, 1024, 1024, 381, 508, 0, 237, datasets/SIMPLE_VORONOI_1024x1024_8.png, 444, 118, out/, 2021-05-0114:28:35.36, 9203024, 99480983, 265668555, 2.670546, 28.867529, 10.809597
115, PROGRESSIVE_SCAN, 2048, 2048, 1270, 1524, 896, 1344, datasets/SIMPLE_VORONOI_2048x2048_5.png, 1397, 1120, out/, 2021-05-0114:28:54.07, 1712089, 169637794, 468835379, 2.7637439, 273.83823, 99.082344
